name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed
,,,,,,a ferlay,A Ferlay,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
,,,,,,aadi zaragoza-jiménez,Aadi Zaragoza-Jiménez,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,aamer ikram,Aamer Ikram,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,aarush sahni,Aarush Sahni,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,aastha varshney,Aastha Varshney,,2025.0,PubMed
,,,,,,abdallfatah abdallfatah,Abdallfatah Abdallfatah,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,abdeali saif arif kaderi,Abdeali Saif Arif Kaderi,The Concept of Anatomical Analogy Between the Liver and the Pancreas.,2025.0,PubMed
,,,,,,abdul-rahman abusalim,Abdul-Rahman Abusalim,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,abigail waldman,Abigail Waldman,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,achuthan c raghavamenon,Achuthan C Raghavamenon,Protective effect of antioxidant triterpenes of ,2025.0,PubMed
,,,,,,addy alt-holland,Addy Alt-Holland,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,adedoyin igunnu,Adedoyin Igunnu,Antidiabetic Activity of Amaranthus hybridus Leaf-based Diet in High-fat Diet and Streptozotocin-induced Diabetic Rats.,2025.0,PubMed
,,,,,,adenike temidayo oladiji,Adenike Temidayo Oladiji,Antidiabetic Activity of Amaranthus hybridus Leaf-based Diet in High-fat Diet and Streptozotocin-induced Diabetic Rats.,2025.0,PubMed
,,,,,,adrian e go,Adrian E Go,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,afreenish amir,Afreenish Amir,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
